iter	Passed	Remaining
0	161	160932
1	170	85322
2	183	60983
3	194	48350
4	204	40774
5	214	35473
6	222	31492
7	234	29039
8	245	27015
9	255	25276
10	268	24130
11	277	22812
12	286	21726
13	291	20528
14	302	19859
15	315	19424
16	330	19101
17	333	18218
18	340	17578
19	358	17585
20	365	17059
21	369	16419
22	379	16141
23	389	15859
24	396	15466
25	401	15045
26	412	14851
27	427	14839
28	439	14714
29	449	14533
30	454	14207
31	463	14014
32	466	13658
33	470	13371
34	475	13102
35	484	12978
36	487	12692
37	505	12787
38	514	12675
39	526	12626
40	536	12540
41	546	12456
42	557	12400
43	562	12217
44	574	12187
45	584	12128
46	594	12052
47	606	12023
48	614	11930
49	628	11935
50	656	12210
51	671	12247
52	702	12554
53	718	12594
54	738	12695
55	746	12586
56	752	12442
57	768	12475
58	780	12449
59	796	12474
60	808	12439
61	824	12472
62	837	12453
63	852	12470
64	864	12430
65	878	12433
66	886	12350
67	903	12377
68	911	12295
69	927	12319
70	941	12322
71	945	12180
72	952	12097
73	963	12061
74	983	12124
75	994	12091
76	1003	12029
77	1012	11969
78	1020	11903
79	1033	11882
80	1038	11776
81	1050	11757
82	1060	11716
83	1070	11677
84	1087	11703
85	1095	11646
86	1107	11618
87	1117	11579
88	1124	11512
89	1138	11514
90	1150	11487
91	1158	11433
92	1169	11407
93	1178	11359
94	1189	11327
95	1199	11299
96	1210	11267
97	1232	11346
98	1249	11369
99	1260	11341
100	1271	11314
101	1274	11224
102	1283	11179
103	1295	11157
104	1315	11214
105	1330	11223
106	1345	11226
107	1356	11207
108	1374	11238
109	1383	11193
110	1393	11161
111	1408	11165
112	1426	11198
113	1441	11204
114	1452	11179
115	1462	11141
116	1472	11110
117	1487	11119
118	1503	11127
119	1515	11115
120	1535	11153
121	1543	11110
122	1553	11077
123	1564	11051
124	1575	11025
125	1589	11024
126	1600	10999
127	1612	10985
128	1621	10949
129	1632	10923
130	1644	10909
131	1657	10897
132	1670	10892
133	1679	10856
134	1691	10839
135	1700	10800
136	1709	10771
137	1719	10737
138	1732	10729
139	1746	10726
140	1756	10700
141	1766	10676
142	1774	10635
143	1784	10605
144	1795	10588
145	1807	10570
146	1823	10579
147	1837	10577
148	1847	10551
149	1856	10522
150	1865	10490
151	1876	10471
152	1887	10448
153	1898	10428
154	1910	10416
155	1922	10400
156	1937	10403
157	1947	10378
158	1960	10368
159	1971	10351
160	1983	10337
161	1995	10321
162	2009	10318
163	2018	10288
164	2028	10266
165	2041	10256
166	2052	10236
167	2065	10230
168	2076	10211
169	2087	10189
170	2097	10168
171	2107	10146
172	2116	10118
173	2126	10092
174	2135	10065
175	2148	10060
176	2157	10031
177	2171	10026
178	2180	10000
179	2189	9973
180	2203	9969
181	2216	9961
182	2226	9941
183	2240	9936
184	2250	9915
185	2258	9882
186	2269	9868
187	2279	9846
188	2289	9826
189	2302	9815
190	2315	9808
191	2331	9811
192	2342	9793
193	2356	9791
194	2369	9782
195	2384	9780
196	2391	9747
197	2400	9722
198	2413	9714
199	2422	9691
200	2433	9673
201	2444	9657
202	2460	9660
203	2478	9669
204	2489	9653
205	2496	9623
206	2506	9602
207	2517	9586
208	2528	9570
209	2537	9546
210	2552	9543
211	2566	9538
212	2584	9549
213	2595	9534
214	2609	9526
215	2629	9545
216	2641	9531
217	2663	9555
218	2682	9565
